longueur,poids,espece,bob
36.58,625.57,marbree,1
40.72,912.65,marbree,1
33.95,634.70,marbree,0
34.00,556.67,marbree,1
45.10,1282.04,marbree,1
29.05,295.53,marbree,1
25.21,266.07,marbree,1
34.09,453.10,marbree,1
37.91,629.64,marbree,1
29.63,390.02,marbree,1
38.06,734.65,marbree,1
31.74,426.54,marbree,1
42.43,983.63,marbree,1
39.10,791.07,marbree,1
26.28,243.56,marbree,1
25.23,184.10,marbree,0
35.66,683.36,marbree,1
25.91,200.94,marbree,1
34.65,616.89,marbree,1
27.02,301.16,marbree,1
30.15,367.32,marbree,1
29.72,231.29,marbree,1
37.49,609.28,marbree,1
34.23,595.90,marbree,1
26.85,263.35,marbree,1
39.32,927.85,marbree,1
40.33,938.31,marbree,1
22.98,174.62,marbree,0
44.08,1134.91,marbree,1
51.27,1727.56,marbree,1
26.27,268.95,marbree,1
41.33,916.03,marbree,1
31.55,500.11,marbree,1
45.73,1353.66,marbree,0
36.91,680.13,marbree,1
39.83,617.44,marbree,0
45.03,1298.95,marbree,0
38.30,775.83,marbree,1
41.57,1052.39,marbree,1
27.32,231.68,marbree,1
38.13,847.11,marbree,1
52.27,1710.16,marbree,1
35.71,520.57,marbree,1
37.70,736.73,marbree,1
43.93,1000.84,marbree,1
38.79,699.77,marbree,1
40.11,908.29,marbree,1
38.97,909.92,marbree,1
44.55,1129.67,marbree,1
40.98,1043.74,marbree,1
39.86,736.85,marbree,1
27.96,321.73,marbree,1
39.38,955.47,marbree,1
41.50,1099.39,marbree,0
28.51,405.21,marbree,1
42.75,1122.23,marbree,1
22.38,78.05,marbree,0
25.66,286.21,marbree,1
38.41,680.33,marbree,1
40.76,1009.20,marbree,1
30.46,474.48,marbree,1
32.89,512.23,marbree,1
21.37,119.29,marbree,1
33.06,454.25,marbree,1
40.72,926.48,marbree,1
41.26,869.14,marbree,1
35.89,530.01,marbree,1
37.48,768.11,marbree,1
34.80,608.62,marbree,1
30.09,421.43,marbree,1
21.10,119.54,marbree,1
42.47,1044.44,marbree,1
38.69,702.37,marbree,1
39.39,815.67,marbree,1
37.57,505.05,marbree,1
34.59,574.83,marbree,1
37.32,770.48,marbree,1
33.26,546.35,marbree,1
38.96,846.15,marbree,1
32.44,636.14,grise,1
18.58,72.65,grise,0
25.84,383.61,grise,1
24.64,213.86,grise,0
28.05,197.17,grise,0
25.39,288.97,grise,1
26.61,229.30,grise,1
28.06,261.11,grise,1
32.55,692.75,grise,0
22.52,190.41,grise,1
30.99,447.14,grise,1
35.73,764.75,grise,1
24.07,274.10,grise,1
26.95,237.94,grise,1
27.88,322.79,grise,1
26.43,339.77,grise,1
26.67,306.57,grise,1
32.18,629.73,grise,1
35.50,647.58,grise,1
31.22,422.91,grise,1
34.38,666.08,grise,1
29.09,457.28,grise,1
23.57,197.81,grise,1
26.79,258.08,grise,1
24.59,277.32,grise,1
26.50,173.36,grise,1
32.26,469.81,grise,1
29.19,421.39,grise,1
39.76,1073.34,grise,0
33.33,660.68,grise,1
27.03,261.36,grise,1
27.06,286.35,grise,1
29.53,456.33,grise,1
28.85,423.00,grise,1
33.50,477.42,grise,1
35.01,589.43,grise,1
26.31,340.77,grise,1
28.79,363.01,grise,1
32.28,545.94,grise,1
27.27,284.32,grise,1
35.97,714.45,grise,1
23.36,225.78,grise,1
30.07,439.47,grise,1
25.81,269.46,grise,1
23.07,216.01,grise,1
36.42,636.78,grise,1
35.45,671.26,grise,1
31.75,575.97,grise,1
20.18,163.11,grise,1
35.13,707.94,grise,1
31.46,450.28,grise,1
27.02,233.98,grise,1
32.19,602.20,grise,1
28.85,474.93,grise,1
29.01,437.83,grise,1
29.15,376.35,grise,1
33.30,515.59,grise,1
34.75,641.87,grise,1
34.01,646.87,grise,1
28.52,434.10,grise,1
24.90,331.31,grise,1
32.58,660.39,grise,1
26.05,246.75,grise,0
24.99,267.97,grise,1
33.60,619.62,grise,1
28.28,389.03,grise,1
37.65,884.61,grise,0
22.01,229.94,grise,1
23.48,141.20,grise,1
29.98,528.80,grise,1
34.46,715.68,grise,1
22.78,171.79,grise,1
32.97,622.06,grise,1
28.90,351.09,grise,1
37.33,828.41,grise,1
25.17,220.45,grise,1
31.52,565.39,grise,1
29.93,421.53,grise,1
32.98,608.64,grise,1
34.61,656.33,grise,1
34.01,696.80,grise,0
35.57,837.33,grise,0
30.97,426.78,grise,1
20.24,164.46,grise,1
30.12,445.45,grise,1
18.70,38.34,grise,0
20.34,175.72,grise,1
25.70,264.76,grise,1
34.44,670.20,grise,1
29.72,440.89,grise,1
34.89,703.44,grise,1
25.77,355.34,grise,1
28.96,312.99,grise,1
19.21,193.89,grise,1
32.62,647.84,grise,1
26.45,260.63,grise,1
30.21,378.49,grise,1
24.29,206.74,grise,1
18.54,72.86,grise,0
26.09,225.58,grise,1
34.68,788.78,grise,1
33.18,655.13,grise,1
38.63,957.94,grise,0
28.90,425.64,grise,1
31.54,486.27,grise,1
18.92,92.17,grise,0
25.88,301.03,grise,1
23.70,206.42,grise,1
22.21,159.02,grise,1
29.15,422.15,grise,1
29.41,397.43,grise,1
32.60,619.21,grise,1
27.65,294.98,grise,1
32.96,576.69,grise,1
34.14,639.83,grise,1
31.49,537.46,grise,1
29.15,443.66,grise,1
32.44,558.20,grise,1
33.26,627.35,grise,1
32.55,668.27,grise,1
38.12,970.92,grise,0
